venue_name,venue_classification,use_at_games,current_status,games_year,host_city,reasoning,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap,page_title,types,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,opened_year_source,venue_age,years_since_event,years_since_construction,venue_lon,venue_lat,city_lon,city_lat,distance_mi
Courts de la Société des Sports de l’île de Puteaux / Cercle de Puteaux,Existing,Tennis,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Léon de Janzé,human,http://www.wikidata.org/entity/Q75447429,Léon de Janzé,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
Vélodrome de Vincennes,Existing,"Cycling (track), football,
gymnastics, rugby, cricket,
archery",In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Vélodrome de Vincennes,stadium; velodrome; sports venue,http://www.wikidata.org/entity/Q420494,Vélodrome de Vincennes,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
Cercle de la Voile de Paris,Existing,Sailing,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,List of yacht clubs that have competed for the America's Cup,Wikimedia list article,http://www.wikidata.org/entity/Q6645874,list of yacht clubs that have competed for the America's Cup,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
"Cercle du Bois de Boulogne, Pelouse de Madrid",Existing,Croquet,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
"Pelouse de Bagatelle, Bois de Boulogne",Existing,Polo,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
Fronton de Neuilly / Terrain de la Société du Jeu de pelote,Existing,Basque pelota,Not in use (demolished),1900,Paris,abandoned before demolition - this is the white elephant,France,1894,exact,FRA,NA,NA,7423.859,1975,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
Stand de l’île Séguin,Existing,Shooting,Not in use (demolished),1900,Paris,urban redevelopment - not a failure,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Bordeaux,commune of France; big city,http://www.wikidata.org/entity/Q1479,Bordeaux,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
Terrain de la Société des Sports de Compiègne,Existing,Golf,Not in use (demolished),1900,Paris,abandoned before demolition - this is the white elephant,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Paris–Roubaix,single-day road race,http://www.wikidata.org/entity/Q33992,Paris–Roubaix,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
Palais de la Société des Régates du Havre,Existing,Sailing,Not in use (demolished),1900,Paris,war - not a failure,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Le Havre's old tramway,tram system,http://www.wikidata.org/entity/Q14554842,Le Havre former tramway,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
Camp militaire de Satory,New build,Shooting,In use (repurposed),1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Paris Commune,organization; administrative territorial entity; insurgency; social experiment; group action; commune,http://www.wikidata.org/entity/Q133132,Paris Commune,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
Place de Breteuil,Temporary,Equestrian (jumping),Dismantled (temporary),1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Émilie du Châtelet,human,http://www.wikidata.org/entity/Q7286,Émilie du Châtelet,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
"Grande Salle des Fêtes de l’Exposition, Champ de Mars",Temporary,Fencing,Dismantled (temporary),1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Trocadéro Palace,destroyed building or structure,http://www.wikidata.org/entity/Q123256,Palais du Trocadéro,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
"Terrasse du Jeu de Paume, Jardin des Tuileries",Temporary,Fencing,Dismantled (temporary),1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Tuileries Garden,urban park; garden; event venue,http://www.wikidata.org/entity/Q818517,Tuileries Garden,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
Francis Field Stadium,Existing,"Archery, gymnastics,
athletics, cycling (track),
football, lacrosse, roque,
tug of war, weightlifting,
wrestling",In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,Francis Olympic Field,stadium,http://www.wikidata.org/entity/Q1140737,Francis Olympic Field,Point(-90.313611111 38.647777777),4000,1904,P1619,0,122,122,-90.313611111,38.647777777,-90.2810236006357,38.6569807401657,1.8719091340062695
Creve Coeur Lake,Existing,Rowing,In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,"Creve Coeur, Missouri",city in the United States,http://www.wikidata.org/entity/Q612541,Creve Coeur,NA,NA,NA,NA,NA,122,NA,NA,NA,-90.2810236006357,38.6569807401657,NA
Glen Echo Country Club,Existing,Golf,In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,Glen Echo Country Club,golf course,http://www.wikidata.org/entity/Q5567712,Glen Echo Country Club,Point(-90.3006 38.7011),NA,NA,NA,NA,122,NA,-90.3006,38.7011,-90.2810236006357,38.6569807401657,3.229668847172215
Physical Culture Gymnasium,Existing,"Boxing, fencing",In use,1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,Gateway Arch,arch; park; architectural landmark; monument,http://www.wikidata.org/entity/Q2027162,Gateway Arch,NA,NA,NA,NA,NA,122,NA,NA,NA,-90.2810236006357,38.6569807401657,NA
Dirt Courts near Francis Field,New build,Tennis,In use (rebuilt),1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,Saint Helena,island; crown colony,http://www.wikidata.org/entity/Q34497,Saint Helena,NA,NA,NA,NA,NA,122,NA,NA,NA,-90.2810236006357,38.6569807401657,NA
US Life Saving Lake / Life Saving Exhibition Lake,Temporary,"Swimming, diving, water polo",Dismantled (temporary),1904,St. Louis,NA,United States,1903,approximate,USA,NA,NA,534.077,1975,72,1904 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8098,1904 Summer Olympics,NA,NA,NA,NA,NA,122,NA,NA,NA,-90.2810236006357,38.6569807401657,NA
All England Lawn Tennis and Croquet Club,Existing,Tennis,Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,All England Lawn Tennis and Croquet Club,sports club; gentlemen's club,http://www.wikidata.org/entity/Q815369,All England Lawn Tennis and Croquet Club,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
Hurlingham Polo Grounds,Existing,Polo,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,The Hurlingham Club,sports club,http://www.wikidata.org/entity/Q1638472,Hurlingham Club,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
Northampton Institute,Existing,Boxing,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,"City St George's, University of London",university,http://www.wikidata.org/entity/Q124917493,"City St George's, University of London",NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
Queen’s Club,Existing,Tennis,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Queen's Club,sports club; tennis venue,http://www.wikidata.org/entity/Q1748936,The Queen's Club,Point(-0.211666666 51.4875),NA,1886,P571,22,118,140,-0.211666666,51.4875,-0.1269853785119,51.508926472857,3.9361937465889993
"Prince’s Skating Club, Montpelier Square",Existing,Figure skating,Not in use (demolished),1908,London,abandoned before demolition - this is the white elephant,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Prince's Club,sports club; gentlemen's club,http://www.wikidata.org/entity/Q7243731,Prince's Club,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
"Prince’s Galleries, Piccadilly (Prince’s Hall)",Existing,Fencing,Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Prince's Hall,concert hall,http://www.wikidata.org/entity/Q101037017,Prince's Hall,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
Uxendon Shooting School Club,Existing,Shooting,Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Uxendon Shooting School Club,sports venue,http://www.wikidata.org/entity/Q7904060,Uxendon Shooting School Club,Point(-0.285556 51.5725),NA,NA,NA,NA,118,NA,-0.285556,51.5725,-0.1269853785119,51.508926472857,8.116414523621817
London Olympic Stadium,New build,"Athletics, swimming, water polo, gymnastics, archery, cycling (track), diving, football, hockey, rugby, wrestling, lacrosse, tug-of-war, Opening Ceremony",Not in use (demolished),1908,London,urban redevelopment - not a failure,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,London Stadium,baseball venue; association football venue; rugby union venue; rugby league venue,http://www.wikidata.org/entity/Q172190,London Stadium,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
Fencing Grounds,Temporary,Fencing,Dismantled (temporary),1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Fencing at the 1908 Summer Olympics,Olympic sports discipline event,http://www.wikidata.org/entity/Q908728,fencing at the 1908 Summer Olympics,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
Henley Royal Regatta Course,Existing,"Rowing, canoe sprint",In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Henley Royal Regatta,recurring sporting event,http://www.wikidata.org/entity/Q1543109,Henley Royal Regatta,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
Southampton Water,Existing,Water motorsports,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Southampton,city; big city,http://www.wikidata.org/entity/Q79848,Southampton,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
"Ryde Pier, Ryde, Isle of Wight",Existing,Sailing,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Ryde,town; civil parish,http://www.wikidata.org/entity/Q776556,Ryde,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
Bisley Rifle Range,Existing,Shooting,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,National Shooting Centre,shooting range; private company limited by shares,http://www.wikidata.org/entity/Q21474154,National Shooting Centre,Point(-0.6554 51.3113),NA,NA,NA,NA,118,NA,-0.6554,51.3113,-0.1269853785119,51.508926472857,26.5824643259804
"Royal Clyde Yacht Club, Hunters Quay",Existing,Sailing,In use,1908,London,NA,United Kingdom,1906,approximate,GBR,NA,NA,7369.842,1975,69,Royal Northern and Clyde Yacht Club,organization,http://www.wikidata.org/entity/Q7374603,Royal Northern and Clyde Yacht Club,NA,NA,NA,NA,NA,118,NA,NA,NA,-0.1269853785119,51.508926472857,NA
Stockholms Fältridklubbs Stadion / Stockholm Cross Country Riding Club Stadium,Existing,Eventing,In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Djurgårdsbrunnsviken,Existing,Rowing,In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Djurgårdsbrunnsviken,bay,http://www.wikidata.org/entity/Q1232282,Djurgårdsbrunnsviken,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Traneberg Athletic Sports Grounds (Tranebergs Idrottsplats),Existing,Football,In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,1912 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8118,1912 Summer Olympics,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Royal Tennis Halls (Tennishallen),Existing,Tennis,Not in use (demolished),1912,Stockholm,urban redevelopment - not a failure,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Stockholm,city; Hanseatic city; big city; port city; largest city; national capital,http://www.wikidata.org/entity/Q1754,Stockholm,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Rasunda Athletic Sports Grounds (Rasunda Idrottsplats),Existing,Football,In use (rebuilt),1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,1912 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8118,1912 Summer Olympics,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Lindarängen,Existing,Eventing,Not in use (demolished),1912,Stockholm,abandoned before demolition - this is the white elephant,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Lindarängen,neighborhood,http://www.wikidata.org/entity/Q15176488,Lindarängen,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Stockholm Olympic Stadium (Olympiastadion),New build,"Dressage, equestrian
(jumping), gymnastics,
wrestling, modern
pentathlon, football, tug of
war, Opening and Closing
Ceremonies",In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Stockholm Olympic Stadium,stadium; architectural ensemble,http://www.wikidata.org/entity/Q727078,Stockholm Olympic Stadium,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Tennis Pavilion at Östermalm Athletic Grounds (Östermalm Idrottsplats),New build,"Tennis, fencing, modern  pentathlon (fencing)",In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,1912 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8118,1912 Summer Olympics,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
"Kaknäs Shooting Range, Djurgården",New build,Shooting,Not in use (demolished),1912,Stockholm,war - not a failure,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Djurgårdens IF,sports club; alliance club,http://www.wikidata.org/entity/Q6418817,Djurgårdens IF,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
"Swimming Stadium, Djurgården Bay",Temporary,"Swimming, diving, water
polo",Dismantled (temporary),1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,List of sports rivalries,Wikimedia list article,http://www.wikidata.org/entity/Q117530683,list of sports rivalries,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Liljeholm Bridge-Olympic Stadium-Lake Mälär,Temporary,Cycling (road),Dismantled (temporary),1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Råsunda,Temporary,Shooting,Dismantled (temporary),1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Råsunda Stadium,destroyed building or structure; defunct sports venue,http://www.wikidata.org/entity/Q725623,Råsunda Stadium,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Olympic Stadium-Sollentuna-Olympic Stadium,Temporary,Marathon,Dismantled (temporary),1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Football in Stockholm,sport in a geographic region,http://www.wikidata.org/entity/Q23044688,football in Stockholm,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Sandhamm,Existing,Sailing,In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Barkaby to Rinkeby,Existing,Modern pentathlon,Not in use (demolished),1912,Stockholm,urban redevelopment - not a failure,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Nynäshamn,New build,Sailing,In use,1912,Stockholm,NA,Sweden,1909,exact,SWE,NA,NA,783.776,1975,66,Nynäshamn,urban area in Sweden,http://www.wikidata.org/entity/Q738338,Nynäshamn,NA,NA,NA,NA,NA,114,NA,NA,NA,18.0053035962164,59.3309351708167,NA
Hoogboom Country Club,Existing,"Eventing, shooting",Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,1920 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8128,1920 Summer Olympics,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Nightingale Park (Nachtegalenpark),Existing,Archery,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
"Celebration Hall, Royal Zoological Society (Feestzaal, Koninklijke Zoölogische Maatschappij)",Existing,"Boxing, wrestling",In use (rebuilt),1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Royal Beerschot Tennis and Hockey Club,Existing,"Tennis, fencing",In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,K Beerschot VAC,association football club,http://www.wikidata.org/entity/Q685182,K. Beerschot V.A.C.,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
"Flower Hall (Floraliën), Middelheim Park",Existing,"Modern pentathlon
(fencing)",Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Ice Palace,Existing,"Ice hockey,
figure skating",Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,1920 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8128,1920 Summer Olympics,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Vélodrome d’Anvers Zurenborg,Existing,Cycling (track),Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Zurenborg Velodrome,velodrome,http://www.wikidata.org/entity/Q110417402,Zurenborg velodrome,Point(4.434545607 51.20224467),NA,1894,P571,26,106,132,4.4345456069999996,51.20224467,4.42130796484785,51.2137107113711,0.9788336117421916
Stadion Broodstraat,Existing,Football,Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Olympisch Stadion (Antwerp),Olympic stadium; association football venue,http://www.wikidata.org/entity/Q1057087,Olympisch Stadion Antwerp,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
"Shooting Range, Het Kiel (Shieetbaan, Het Kiel)",Existing,Modern pentathlon (shooting),Not in use (demolished),1920,Antwerp,urban redevelopment - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Antwerp Olympic Stadium (Olympisch Stadion),New build,"Athletics, hockey,
equestrian, gymnastics,
football, rugby, tug of
war, modern pentathlon
(running, equestrian),
weightlifting, Opening
and Closing
Ceremonies",In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Olympisch Stadion (Antwerp),Olympic stadium; association football venue,http://www.wikidata.org/entity/Q1057087,Olympisch Stadion Antwerp,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Merksem-Antwerp,Temporary,"Eventing, cycling (road)",Dismantled (temporary),1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Merksem,district of Antwerp; municipality section,http://www.wikidata.org/entity/Q2543761,Merksem,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Antwerp Water Sports Stadium,Temporary,"Swimming, diving, water
polo, modern pentathlon
(swimming)",Dismantled (temporary),1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,1920 Summer Olympics,Summer Olympic Games edition,http://www.wikidata.org/entity/Q8128,1920 Summer Olympics,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Duden Park Stadium,Existing,Football,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Joseph Marien Stadium,stadium,http://www.wikidata.org/entity/Q3495665,Joseph Marien Stadium,Point(4.32917 50.8178),5100,1919,P1619,1,106,107,4.32917,50.8178,4.42130796484785,51.2137107113711,27.67744553546473
Wellington Racing Track (Wellingtonrenbaan),Existing,Polo,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Oostende,Existing,Sailing,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,BC Oostende,basketball team; basketball club,http://www.wikidata.org/entity/Q161820,BC Oostende,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Willebroek Canal (Willebroekse Vaart),Existing,Rowing,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Buiten-IJ,Existing,Sailing,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,IJ (Amsterdam),channel,http://www.wikidata.org/entity/Q338137,IJ,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Beverloo Camp (Kamp Beverloo),Existing,Shooting,In use,1920,Antwerp,NA,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Beverloo Camp,military training area,http://www.wikidata.org/entity/Q2054357,Beverloo Camp,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Jules Otten Stadium,New build,Football,Not in use (demolished),1920,Antwerp,replaced by successor stadium - not a failure,Belgium,1914,exact,BEL,NA,NA,457.605,1975,61,Jules Ottenstadion,association football venue,http://www.wikidata.org/entity/Q1711746,Jules Ottenstadion,NA,NA,NA,NA,NA,106,NA,NA,NA,4.42130796484785,51.2137107113711,NA
Piste des Pélerins,New (seasonal),Bobsleigh,Dismantled (seasonal),1924,Chamonix,NA,France,1922,approximate,FRA,NA,NA,NA,NA,NA,Chamonix,commune of France; border city,http://www.wikidata.org/entity/Q83236,Chamonix-Mont-Blanc,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA
